Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-04-06,123.46,124.36,122.92,123.75,80171300
2021-04-07,125.12,125.14,122.42,123.09,83466700
2021-04-08,127.52,127.55,125.72,126.14,88844600
2021-04-09,130.11,130.15,126.65,126.98,106686700
2021-04-12,128.38,129.96,127.79,129.64,91420000
2021-04-13,131.5,131.73,129.06,129.56,91266500
2021-04-14,129.16,132.06,128.8,132.0,87222800
2021-04-15,131.57,132.06,130.73,130.91,89347100
2021-04-16,131.24,131.74,130.38,131.38,84922400
2021-04-19,131.91,132.52,130.44,130.6,94264200
2021-04-20,130.21,132.58,128.94,132.08,94812300
2021-04-21,130.6,130.84,128.44,129.48,68847100
2021-04-22,129.07,131.23,128.55,130.15,84566500
2021-04-23,131.4,132.18,129.28,129.28,78657500
2021-04-26,131.79,132.12,130.65,131.9,66905100
2021-04-27,131.47,132.46,131.19,132.07,66015800
2021-04-28,130.67,132.08,130.18,131.39,107760100
2021-04-29,130.58,134.09,129.57,133.5,151101000
2021-04-30,128.6,130.65,128.22,128.91,109839500
2021-05-03,129.66,131.15,128.96,129.17,75135100
2021-05-04,125.07,128.63,123.94,128.34,137564700
2021-05-05,125.31,127.61,125.19,126.39,84000900
2021-05-06,126.92,126.93,124.36,125.11,78128300
2021-05-07,127.59,128.62,126.88,128.22,78973300
2021-05-10,124.3,126.94,124.26,126.81,88071200
2021-05-11,123.38,123.73,120.3,121.02,126142800
2021-05-12,120.3,122.14,119.79,120.92,112172300
2021-05-13,122.46,123.61,121.76,122.08,105861300
2021-05-14,124.89,125.32,123.32,123.71,81918000
2021-05-17,123.73,124.38,122.65,124.27,74244600
2021-05-18,122.34,124.44,122.27,124.02,63342900
2021-05-19,122.18,122.41,120.39,120.68,92612000
2021-05-20,124.75,125.15,122.59,122.71,76857100
2021-05-21,122.91,125.43,122.69,125.25,79295400
2021-05-24,124.55,125.37,123.41,123.48,63092900
2021-05-25,124.35,125.74,123.78,125.25,72009500
2021-05-26,124.3,124.83,123.88,124.41,56575900
2021-05-27,122.76,125.07,122.57,123.9,94625600
2021-05-28,122.11,123.27,122.05,123.05,71311100
2021-06-01,121.78,122.83,121.45,122.57,67637100
2021-06-02,122.55,122.72,121.56,121.78,59278900
2021-06-03,121.06,122.34,120.66,122.17,76229200
2021-06-04,123.36,123.62,121.36,121.58,75169300
2021-06-07,123.37,123.78,122.32,123.63,71057600
2021-06-08,124.19,125.88,123.67,124.06,74403800
2021-06-09,124.57,125.18,123.98,124.65,56877900
2021-06-10,123.58,125.61,123.41,124.47,71186400
2021-06-11,124.79,124.88,123.57,123.99,53522400
2021-06-14,127.86,127.92,124.52,125.25,96906500
2021-06-15,127.03,127.98,126.79,127.33,62746300
2021-06-16,127.53,128.26,125.88,127.75,91815000
2021-06-17,129.14,129.89,127.04,127.19,96721700
2021-06-18,127.84,128.87,127.62,128.08,108953300
2021-06-21,129.64,129.75,126.61,127.68,79663300
2021-06-22,131.29,131.39,128.97,129.47,74783600
2021-06-23,131.01,131.62,130.55,131.08,60214200
2021-06-24,130.73,131.93,130.26,131.75,68711000
2021-06-25,130.43,131.2,130.14,130.78,70783700
2021-06-28,132.07,132.53,130.67,130.73,62111300
2021-06-29,133.59,133.75,131.65,132.09,64556100
2021-06-30,134.21,134.65,133.14,133.43,63261400
2021-07-01,134.51,134.57,133.03,133.85,52485800
2021-07-02,137.15,137.19,134.98,135.13,78852600
2021-07-06,139.17,140.27,137.25,137.25,108181800
2021-07-07,141.66,141.98,139.79,140.66,104911600
2021-07-08,140.36,141.16,137.84,138.73,105575500
2021-07-09,142.19,142.72,139.78,139.88,99890800
2021-07-12,141.6,143.38,141.11,143.27,76299700
2021-07-13,142.71,144.5,140.74,141.14,100827100
2021-07-14,146.15,146.56,144.71,145.12,127050800
2021-07-15,145.5,146.99,144.13,146.24,106820300
2021-07-16,143.45,146.75,142.95,145.48,93251400
2021-07-19,139.59,141.17,138.82,140.86,121434600
2021-07-20,143.21,144.14,140.09,140.58,96350000
2021-07-21,142.48,143.19,141.72,142.61,74993500
2021-07-22,143.85,145.22,142.88,143.01,77338200
2021-07-23,145.57,145.73,143.97,144.58,71447400
2021-07-26,146.0,146.82,144.73,145.29,72434100
2021-07-27,143.82,146.21,142.62,146.12,104818600
2021-07-28,142.07,144.02,139.68,141.9,118931200
2021-07-29,142.71,143.6,141.67,141.78,56699500
2021-07-30,142.93,143.39,141.21,141.48,70440600
2021-08-02,142.6,144.0,142.33,143.42,62880000
2021-08-03,144.4,145.06,142.26,142.88,64786600
2021-08-04,144.0,144.82,143.34,144.31,56368300
2021-08-05,144.1,144.87,143.23,144.03,46397700
2021-08-06,143.42,144.37,142.92,143.62,54126800
2021-08-09,143.37,143.97,142.81,143.48,48908700
2021-08-10,142.89,144.96,142.59,143.71,69023100
2021-08-11,143.14,143.99,142.82,143.33,48493500
2021-08-12,146.12,146.27,143.12,143.47,72282600
2021-08-13,146.32,146.66,145.51,146.19,59375000
2021-08-16,148.3,148.37,143.74,145.77,103296000
2021-08-17,147.39,148.85,146.31,147.43,92229700
2021-08-18,143.63,147.91,143.43,147.01,86326000
2021-08-19,143.97,145.24,141.81,142.33,86960300
2021-08-20,145.43,145.73,144.05,144.69,60549600
2021-08-23,146.92,147.39,145.13,145.55,60131800
2021-08-24,146.83,148.05,146.37,146.67,48606400
2021-08-25,145.6,147.52,145.05,147.02,58991300
2021-08-26,144.79,146.34,144.76,145.59,48597200
2021-08-27,145.83,145.98,144.09,144.73,55802400
2021-08-30,150.27,150.63,145.84,146.22,90956700
2021-08-31,149.0,149.95,148.47,149.82,86453100
2021-09-01,149.67,152.09,149.5,149.98,80313700
2021-09-02,150.79,151.84,149.56,151.0,71115500
2021-09-03,151.43,151.75,150.24,150.9,57808700
2021-09-07,153.77,154.33,151.51,152.08,82278300
2021-09-08,152.22,154.11,151.11,154.06,74420200
2021-09-09,151.2,153.2,151.08,152.59,57305700
2021-09-10,146.19,152.58,145.93,152.11,140893200
2021-09-13,146.76,148.6,145.98,147.82,102404300
2021-09-14,145.36,148.26,144.17,147.55,109296300
2021-09-15,146.25,146.66,143.64,145.79,83281300
2021-09-16,146.02,146.19,144.48,145.67,68034100
2021-09-17,143.34,146.05,143.04,146.05,129868800
2021-09-20,140.28,142.14,138.64,141.12,123478900
2021-09-21,140.76,141.91,140.12,141.25,75834000
2021-09-22,143.13,143.7,141.02,141.76,76404300
2021-09-23,144.09,144.34,142.93,143.92,64838200
2021-09-24,144.18,144.72,142.85,142.95,53477900
2021-09-27,142.66,143.24,141.14,142.76,74150700
2021-09-28,139.27,142.05,139.05,140.58,108972300
2021-09-29,140.17,141.76,139.38,139.82,74602000
2021-09-30,138.86,141.69,138.65,140.98,89056700
2021-10-01,139.99,140.26,136.52,139.26,94639600
2021-10-04,136.55,139.56,135.69,139.12,98322000
2021-10-05,138.48,139.59,136.76,136.89,80861100
2021-10-06,139.35,139.5,135.79,136.87,83221100
2021-10-07,140.62,141.53,140.06,140.39,61732700
2021-10-08,140.24,141.49,139.9,141.35,58773200
2021-10-11,140.15,142.11,139.17,139.62,64452200
2021-10-12,138.87,140.58,138.41,140.56,73035900
2021-10-13,138.28,138.77,136.61,138.61,78762700
2021-10-14,141.08,141.2,138.87,139.46,69907100
2021-10-15,142.14,142.2,140.84,141.09,67940300
2021-10-18,143.82,144.1,140.49,140.78,85589200
2021-10-19,145.99,146.39,143.82,144.27,76378900
2021-10-20,146.48,146.96,145.36,145.93,58418800
2021-10-21,146.7,146.85,145.12,146.04,61421000
2021-10-22,145.92,147.38,145.87,146.9,58883400
2021-10-25,145.87,146.59,144.87,145.91,50720600
2021-10-26,146.54,148.03,146.23,146.55,60893400
2021-10-27,146.08,146.94,145.72,146.58,56094900
2021-10-28,149.73,150.32,146.93,147.03,100077900
2021-10-29,147.01,147.15,143.68,144.48,124953200
2021-11-01,146.18,146.91,145.05,146.21,74588300
2021-11-02,147.23,148.75,145.88,145.89,69122000
2021-11-03,148.67,149.14,147.03,147.59,54511500
2021-11-04,148.15,149.59,147.83,148.76,60394600
2021-11-05,148.68,149.58,147.48,149.28,65463900
2021-11-08,147.85,148.96,147.58,148.81,55020900
2021-11-09,148.22,148.83,147.48,147.62,56787900
2021-11-10,145.38,147.55,145.31,147.44,65187100
2021-11-11,145.33,146.86,145.14,146.4,41000000
2021-11-12,147.41,147.81,144.94,145.88,63804000
2021-11-15,147.42,149.27,146.86,147.78,59222800
2021-11-16,148.4,148.88,146.77,147.36,59256200
2021-11-17,150.85,152.33,148.39,148.4,88807000
2021-11-18,155.16,155.94,150.42,151.07,137827700
2021-11-19,157.79,158.25,153.84,154.94,117305600
2021-11-22,158.25,162.85,158.23,158.9,117467900
2021-11-23,158.63,159.02,156.32,158.35,96041900
2021-11-24,159.16,159.35,156.89,157.99,69463600
2021-11-26,154.11,157.69,153.67,156.83,76959800
2021-11-29,157.48,158.42,156.06,156.63,88748200
2021-11-30,162.46,162.67,157.17,157.24,174048100
2021-12-01,161.94,167.37,161.7,164.6,152052500
2021-12-02,160.94,161.38,155.09,156.01,136739200
2021-12-03,159.06,162.12,156.97,161.2,118023100
2021-12-06,162.48,164.99,161.45,161.46,107497000
2021-12-07,168.24,168.63,165.44,166.17,120405400
2021-12-08,172.07,172.93,167.76,169.17,116998900
2021-12-09,171.56,173.71,170.93,171.9,108923700
2021-12-10,176.36,176.54,171.69,172.2,115402700
2021-12-13,172.72,179.0,172.51,178.01,153237000
2021-12-14,171.33,174.68,169.25,172.24,139380400
