Price,Close,High,Low,Open,Volume
Ticker,DIS,DIS,DIS,DIS,DIS
Date,,,,,
2023-01-03,87.88,88.87,86.76,87.89,14997100
2023-01-04,90.86,91.62,88.27,88.9,14957200
2023-01-05,90.8,91.35,89.41,90.54,11622600
2023-01-06,92.77,93.53,90.21,91.53,9828100
2023-01-09,93.61,94.53,92.31,93.28,11675800
2023-01-10,94.39,94.47,92.68,93.13,6914600
2023-01-11,95.15,95.37,93.89,94.75,8757300
2023-01-12,98.59,99.4,96.38,97.3,19764300
2023-01-13,98.19,98.38,96.81,98.17,12230200
2023-01-17,98.69,99.76,97.79,99.1,14914200
2023-01-18,97.83,99.9,97.52,99.06,11384500
2023-01-19,97.87,98.24,95.93,96.92,10973600
2023-01-20,102.22,102.33,98.09,99.12,14549900
2023-01-23,104.4,104.66,101.66,102.03,11479100
2023-01-24,104.71,107.12,100.76,103.42,8606700
2023-01-25,106.8,106.84,102.91,103.68,10008000
2023-01-26,108.36,108.42,106.26,106.85,9204400
2023-01-27,108.2,109.23,107.83,107.93,10249700
2023-01-30,106.28,107.64,106.17,106.94,8548500
2023-01-31,107.17,107.39,106.14,106.27,8251700
2023-02-01,108.06,108.6,105.6,107.18,9975500
2023-02-02,111.83,112.14,108.35,109.32,13093200
2023-02-03,109.36,111.76,109.02,110.11,12472500
2023-02-06,108.53,109.08,107.21,108.83,11956500
2023-02-07,110.27,110.75,107.53,107.97,10844000
2023-02-08,110.42,111.95,108.94,110.83,27719900
2023-02-09,109.01,116.74,108.47,116.6,46137200
2023-02-10,106.74,108.4,105.9,107.63,15566000
2023-02-13,106.35,106.97,105.25,106.78,12341500
2023-02-14,106.35,107.12,104.53,105.52,10768100
2023-02-15,107.91,107.94,105.4,105.78,8156000
2023-02-16,104.54,106.7,104.41,106.24,9479900
2023-02-17,103.94,104.51,102.61,103.75,9492200
2023-02-21,100.84,102.46,100.59,102.29,10648200
2023-02-22,100.44,101.31,99.86,100.09,9885100
2023-02-23,100.49,100.8,98.39,100.21,10974800
2023-02-24,99.08,99.2,97.75,98.32,8523000
2023-02-27,99.22,100.23,98.84,99.5,6641200
2023-02-28,98.39,99.52,98.35,99.22,8233700
2023-03-01,97.34,98.41,96.9,97.98,7898300
2023-03-02,97.71,98.08,96.23,96.55,7776600
2023-03-03,99.91,99.95,97.67,98.45,7434300
2023-03-06,99.43,101.45,99.26,100.37,6773300
2023-03-07,97.85,99.71,97.68,99.17,6951300
2023-03-08,98.09,98.4,97.1,97.79,5668700
2023-03-09,94.97,98.83,94.75,98.24,8275600
2023-03-10,92.43,94.73,91.7,94.43,13978800
2023-03-13,91.47,92.87,89.36,90.77,11915300
2023-03-14,92.22,93.15,91.21,92.85,10323600
2023-03-15,91.96,92.22,90.29,90.51,9543800
2023-03-16,93.14,93.41,90.77,91.54,9931700
2023-03-17,92.06,93.12,91.78,92.9,12943200
2023-03-20,93.07,93.76,91.87,92.29,6657200
2023-03-21,95.36,95.67,94.01,94.01,7285800
2023-03-22,93.74,96.73,93.66,96.26,8811100
2023-03-23,94.66,95.84,93.6,94.12,9527000
2023-03-24,92.93,93.84,91.88,93.65,9534600
2023-03-27,94.45,94.85,93.23,93.62,7487900
2023-03-28,93.66,94.83,93.44,94.34,5426100
2023-03-29,95.69,95.73,94.19,94.91,5889100
2023-03-30,96.9,97.71,96.48,97.53,7669500
