Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,308.318269746638,277.118051443941,338.139973643387,346.071627096223,338.637273888197,363.640141436773,367.75831169358,410.757728879097,417.647282647498,488.830652491949,542.871030476037,525.42698276582,568.929021458341,580.603833333096,575.146245808546,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306,408.625855217403,377.665627080705,379.707497269884,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1740.50583847766,1804.01077946774,1818.36782013759,1799.87861664229,1740.3476817517,1735.2903123439,1798.01507982468,1748.57872030222,1691.53094901661,1808.64607818532,1606.29646776458,1163.49159838489,1086.4387714304,1197.58090750054,1305.00106057165,1488.02088119627,1633.55200001885,1464.29796254199,1603.64765027651,1821.87313102694,1960.88245974115,2143.52683947815,2247.49808010881,2380.64462078713,2522.44937446209,2675.50863709675,2851.36775919961,3044.89661682055,3298.47890843532,3432.1708719722,3577.11432498868,3678.04770145146,3736.34007957648,3780.69919254096,3855.76074409659,3952.80357364813,4090.37272829183,4249.8200493985,4431.55559506989,4542.26866282892,4417.04105105395,4858.05201500931,5154.8274975368,5419.63779125273,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,2388.42007867121,2027.27351526457,1604.48773834966,2122.4310919023,2209.9069785789,2311.73974611983,2161.49133930658,2313.25858764419,2505.31409679971,2655.44328834561,2826.24146249501,2449.95226860396,3050.82216642524,3093.380555081,3245.60799489528,3290.82760115529,3408.01820820889,3459.3039962159,3672.11777957158,3830.80959220232,3742.71024719682,3731.93905390427,3840.5753859786,3912.93659125035,3993.39540514055,4002.55619416338,3888.36475873906,3746.16566714647,3606.26838802575,3666.85307880529,3605.68701213527,3478.5097627463,3455.9293629926,3302.91950571082,3201.56914405705,3255.187268716,3322.9553813945,3297.46603365919,3410.88254399624,3471.49196276655,3553.32420521282,3610.00605632903,3754.66081539402,3945.89816092714,4066.28204806069,4223.60252134721,4279.61547125531,4339.25055772185,4367.56538019901,4336.10054056598,4456.61027416201,4501.35430135827,4518.4397895726,4543.23444004859,4634.10149183949,4685.05902729002,4768.73140080218,4742.90075536604,4717.00358853556,4672.66408682198,4363.68533766912,4456.74687641147,4544.46688059647,4660.40545686886,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13054.6364326897,13201.7347516166,13291.5356626851,13284.2791128875,12794.7565021718,13092.3111393408,12809.4633079683,12342.0575384016,12446.3086265015,12521.8095058644,12068.2667374983,11871.7937192729,12203.0894714284,12727.4102651386,12665.2829921268,11930.7771236826,12412.6024074562,12524.0160252283,13194.274740128,13233.5784817341,13709.0974895473,..,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,43005.5424060499,41930.1505181051,42354.7451311239,42738.1683147449,42363.4459763575,40073.4103672052,39058.5886579157,38021.8198324994,36647.7020446754,34983.9990925236,34281.7439457496,32958.7650422337,31996.5442021338,31117.1962253069,30392.8420658326,29997.086266705,29680.1329441921,30064.9979674317,30469.3442408022,31180.4123329842,31143.1468745802,29642.305980666,28161.9424927346,26518.2336327363,26587.1383037195,27619.5060608184,28871.2160741757,31140.6896808445,31800.3640667052,32938.6437399807,34113.8173771495,36790.1037072591,38084.4843094685,39620.3201590697,40054.3211516798,40528.1748609004,41322.0529198761,40789.1589682857,37775.1261390552,35604.3840085198,36277.2644412087,37637.4868329126,36206.9784343227,35684.169433471,37300.6244183478,38654.9347203095,40085.0205971586,39361.0622634329,39242.1448960772,39346.2750344286,34536.6499209948,36929.0191515162,39780.3966116268,40227.2335282714,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2835.45918525994,2613.73938612911,2519.35158518789,2529.40192266936,2583.61982616848,2577.46509177461,2557.95883799319,2571.49691872454,2637.78185527742,2550.29431304775,2380.17624300565,2324.36937619854,2118.16654532324,1559.517151584,1529.994431256,1701.69727652709,1867.93503101029,1936.91619338589,1961.03722525713,1938.86184025918,1932.98847886814,1947.85672988915,2139.87259662901,2128.19579323903,2277.86696532928,2526.41057941008,2716.25302638209,2983.0418728513,3193.28772270836,3100.60927365473,3114.69608592822,3099.9422899117,3236.57494513146,3268.63890723473,3300.73510980871,3213.90261080059,3020.98332805417,2911.60084214038,2775.74642272991,2664.43850995544,2433.37637275564,2385.44881834294,2382.02263952585,2332.88691268977,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6061.4435657129,6309.7558667416,6794.56160156779,7321.8405159329,7583.31567928365,7562.89206381061,7950.26393459359,8765.44031635115,9477.96190681987,10619.1655866426,11381.2307700931,12035.3929909794,12727.1309126512,13164.2272092671,13382.6739017785,13323.9442876969,13774.4689520092,14417.9361441651,13517.2120795095,14115.4382832454,14585.7889477865,14989.1843884929,15280.3215843951,15958.3132753462,15000.8336257587,14965.4696892062,15701.2446362213,16430.5408564489,17298.2265678329,19256.3006281792,20766.6864243165,20461.2564795372,17743.6223972972,16132.6118723322,15631.2134928755,15986.5855542187,15745.4753067356,15966.5831000524,16080.6580495873,16635.7318893628,16951.5063540798,18038.8532949834,18508.9783729509,14935.6150238496,16071.0843222933,17507.3892241095,18090.7735177058,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,7397.10965495682,7670.59545571641,7480.27172420174,6967.75019555221,7551.02490778789,8219.55155637229,8041.22487411475,8172.27456469042,8436.30856351031,9111.9459748551,9244.12251785153,9614.61061692134,9617.68814943737,9729.53258885903,10100.4469136163,9936.49583447894,9584.74851751038,10088.3374871635,9480.94009490414,10284.6064087552,10275.7987023886,9587.67379423426,9365.68465387847,9617.7000569575,9614.44726215357,8973.31874865813,9378.46866394349,9484.45876638052,9236.80771302535,8445.4100923428,8115.09386370753,8729.82318518892,9293.18692251748,9920.67358582437,10359.8927204871,9934.10776139515,10352.1400002191,11056.6881331002,11348.2022124673,10838.3199346387,10631.6503639029,10051.9448463043,8861.56199282278,9545.53194119994,10302.4465316428,11099.7509190602,11870.2791559298,12811.9021206578,13197.3570267029,12285.3784651865,13387.1553748458,14040.6189124444,13754.4254235596,13946.0950832252,13456.1319159151,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877,12549.2811699342,13182.7933950725,12933.2497342121,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1644.02214502158,1426.82791357144,840.205259177402,792.567859246381,857.394474812969,932.357829471807,995.728275319872,1039.0798243009,1128.09888845227,1180.45341995952,1229.21510436102,1351.12072694555,1535.20452885187,1759.64684829386,1955.22262459229,2240.09273209788,2551.43546358452,2919.3734936373,3141.33193500774,2716.97436280471,2796.08143428043,2943.83687119315,3159.75860786889,3266.29882999873,3393.09252326884,3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187,4791.00481712183,5151.01273118105,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17354.4211506779,20407.620205072,24143.1712840053,26573.6479138613,26609.3840748633,27358.0217070709,27662.2034052006,27798.3553265013,28563.2336087935,28479.6452657341,27701.0504117279,28526.0975674511,28387.1299566371,28351.3719022982,30199.6612772816,31169.7969138989,30662.3217145204,30651.9457560917,32192.7919471291,31249.2780373413,31038.8898666583,31759.8232024833,32097.0402243555,28157.1489891095,27324.5554259804,28037.8697927378,27341.2274279996,28668.7204196265,27914.8433440348,27458.2253310273,27719.5007310796,29671.13582858,30334.1159488227,29576.8099423267,21947.9953301189,27469.0056215511,29917.1280287045,31178.473678762,..
